id,full_name,team,height,weight,position
1630173,Precious Achiuwa,Knicks,6-8,243,Forward
203500,Steven Adams,Rockets,6-11,265,Center
1628389,Bam Adebayo,Heat,6-9,255,Center-Forward
1630534,Ochai Agbaji,Raptors,6-5,215,Guard
1630583,Santi Aldama,Grizzlies,7-0,215,Forward-Center
1641725,Trey Alexander,Nuggets,6-4,185,Guard
1629638,Nickeil Alexander-Walker,Timberwolves,6-5,205,Guard
1628960,Grayson Allen,Suns,6-4,198,Guard
1628386,Jarrett Allen,Cavaliers,6-9,243,Center
1630631,Jose Alvarado,Pelicans,6-0,179,Guard
203937,Kyle Anderson,Heat,6-9,230,Forward-Guard
203507,Giannis Antetokounmpo,Bucks,6-11,243,Forward
1630175,Cole Anthony,Magic,6-2,185,Guard
1628384,OG Anunoby,Knicks,6-7,240,Forward-Guard
1642379,Taran Armstrong,Warriors,6-5,190,Guard
1630166,Deni Avdija,Trail Blazers,6-9,240,Forward
1629028,Deandre Ayton,Trail Blazers,7-0,252,Center
1630542,Marcus Bagley,76ers,6-6,217,Forward
1628963,Marvin Bagley III,Grizzlies,6-10,235,Forward
1631116,Patrick Baldwin Jr.,Clippers,6-9,220,Forward
1630163,LaMelo Ball,Hornets,6-7,180,Guard
1628366,Lonzo Ball,Bulls,6-6,190,Guard
1628964,Mo Bamba,,7-0,231,Center
1631094,Paolo Banchero,Magic,6-10,250,Forward
1630217,Desmond Bane,Grizzlies,6-5,215,Guard
1630625,Dalano Banton,Trail Blazers,6-8,203,Forward
1631230,Dominick Barlow,Hawks,6-8,215,Forward
203084,Harrison Barnes,Spurs,6-8,225,Forward
1630567,Scottie Barnes,Raptors,6-7,237,Forward-Guard
1629628,RJ Barrett,Raptors,6-6,214,Forward-Guard
1629646,Charles Bassey,Spurs,6-10,230,Center-Forward
1641734,Emoni Bates,Cavaliers,6-8,202,Forward
1642419,Jamison Battle,Raptors,6-7,220,Forward
201587,Nicolas Batum,Clippers,6-8,230,Guard-Forward
1641878,Damion Baugh,Hornets,6-4,194,Guard
203078,Bradley Beal,Suns,6-4,207,Guard
1627736,Malik Beasley,Pistons,6-4,187,Guard
1630699,MarJon Beauchamp,Knicks,6-7,199,Forward
1641736,Reece Beekman,Nets,6-3,190,Guard
1630180,Saddiq Bey,Wizards,6-7,215,Guard-Forward
1629048,Goga Bitadze,Magic,6-10,250,Center-Forward
202687,Bismack Biyombo,Spurs,6-8,255,Center
1641710,Anthony Black,Magic,6-7,200,Guard
203992,Bogdan BogdanoviÄ‡,Clippers,6-5,225,Guard
1629626,Bol Bol,Suns,7-3,220,Center-Forward
1641737,Adem Bona,76ers,6-10,235,Forward
1626164,Devin Booker,Suns,6-6,206,Guard
1630527,Brandon Boston,Pelicans,6-6,188,Guard
1628449,Chris Boucher,Raptors,6-9,200,Forward
1631123,Jamaree Bouyea,Bucks,6-2,180,Guard
